image_path,similarity
NEU-DET-2/train/images/inclusion_256.jpg,0.58355284
NEU-DET-2/train/images/inclusion_213.jpg,0.58338279
NEU-DET-2/train/images/inclusion_108.jpg,0.58203095
NEU-DET-2/train/images/scratches_62.jpg,0.58156180
NEU-DET-2/train/images/inclusion_174.jpg,0.58155602
NEU-DET-2/train/images/inclusion_175.jpg,0.58119506
NEU-DET-2/train/images/pitted_surface_87.jpg,0.58010459
NEU-DET-2/train/images/inclusion_259.jpg,0.57969159
NEU-DET-2/train/images/inclusion_158.jpg,0.57901359
NEU-DET-2/train/images/inclusion_188.jpg,0.57676440
NEU-DET-2/train/images/inclusion_172.jpg,0.57629251
NEU-DET-2/train/images/inclusion_198.jpg,0.57625228
NEU-DET-2/train/images/scratches_87.jpg,0.57601094
NEU-DET-2/train/images/inclusion_299.jpg,0.57548785
NEU-DET-2/train/images/inclusion_258.jpg,0.57547939
NEU-DET-2/train/images/inclusion_148.jpg,0.57493204
NEU-DET-2/train/images/inclusion_199.jpg,0.57360828
NEU-DET-2/train/images/inclusion_160.jpg,0.57282293
NEU-DET-2/train/images/inclusion_136.jpg,0.57139182
NEU-DET-2/train/images/scratches_89.jpg,0.56920081
NEU-DET-2/train/images/inclusion_110.jpg,0.56913388
NEU-DET-2/train/images/inclusion_284.jpg,0.56900680
NEU-DET-2/train/images/inclusion_96.jpg,0.56727797
NEU-DET-2/train/images/inclusion_266.jpg,0.56483889
NEU-DET-2/train/images/inclusion_293.jpg,0.56429613
NEU-DET-2/train/images/inclusion_156.jpg,0.56419414
NEU-DET-2/train/images/inclusion_269.jpg,0.56306762
NEU-DET-2/train/images/inclusion_267.jpg,0.56233746
NEU-DET-2/train/images/inclusion_168.jpg,0.56144285
NEU-DET-2/train/images/inclusion_138.jpg,0.56103110
NEU-DET-2/train/images/inclusion_265.jpg,0.56062949
NEU-DET-2/train/images/inclusion_251.jpg,0.55934238
NEU-DET-2/train/images/inclusion_219.jpg,0.55808055
NEU-DET-2/train/images/inclusion_126.jpg,0.55682075
NEU-DET-2/train/images/inclusion_189.jpg,0.55676317
NEU-DET-2/train/images/inclusion_144.jpg,0.55614328
NEU-DET-2/train/images/inclusion_196.jpg,0.55604339
NEU-DET-2/train/images/inclusion_239.jpg,0.55508560
NEU-DET-2/train/images/inclusion_170.jpg,0.55294335
NEU-DET-2/train/images/inclusion_130.jpg,0.55119997
NEU-DET-2/train/images/inclusion_178.jpg,0.55115813
NEU-DET-2/train/images/inclusion_248.jpg,0.55040616
NEU-DET-2/train/images/inclusion_137.jpg,0.54839909
NEU-DET-2/train/images/inclusion_274.jpg,0.54797363
NEU-DET-2/train/images/inclusion_75.jpg,0.54633653
NEU-DET-2/train/images/inclusion_227.jpg,0.54527056
NEU-DET-2/train/images/inclusion_291.jpg,0.54252082
NEU-DET-2/train/images/inclusion_161.jpg,0.54137653
NEU-DET-2/train/images/inclusion_134.jpg,0.54071021
NEU-DET-2/train/images/inclusion_262.jpg,0.53724444
NEU-DET-2/train/images/scratches_66.jpg,0.53527451
NEU-DET-2/train/images/inclusion_145.jpg,0.53389120
NEU-DET-2/train/images/inclusion_146.jpg,0.53366166
NEU-DET-2/train/images/inclusion_72.jpg,0.53356981
NEU-DET-2/train/images/inclusion_68.jpg,0.53285700
NEU-DET-2/train/images/inclusion_236.jpg,0.53278798
NEU-DET-2/train/images/inclusion_171.jpg,0.53278434
NEU-DET-2/train/images/inclusion_84.jpg,0.53201282
NEU-DET-2/train/images/inclusion_78.jpg,0.53169274
NEU-DET-2/train/images/inclusion_255.jpg,0.53094971
NEU-DET-2/train/images/scratches_90.jpg,0.53091824
NEU-DET-2/train/images/pitted_surface_68.jpg,0.53089672
NEU-DET-2/train/images/scratches_103.jpg,0.52952969
NEU-DET-2/train/images/inclusion_70.jpg,0.52944511
NEU-DET-2/train/images/inclusion_149.jpg,0.52940381
NEU-DET-2/train/images/inclusion_181.jpg,0.52926719
NEU-DET-2/train/images/inclusion_238.jpg,0.52892053
NEU-DET-2/train/images/inclusion_76.jpg,0.52803099
NEU-DET-2/train/images/inclusion_153.jpg,0.52652317
NEU-DET-2/train/images/inclusion_118.jpg,0.52452904
NEU-DET-2/train/images/inclusion_193.jpg,0.52440047
NEU-DET-2/train/images/inclusion_272.jpg,0.52432567
NEU-DET-2/train/images/scratches_184.jpg,0.52342457
NEU-DET-2/train/images/inclusion_91.jpg,0.52199870
NEU-DET-2/train/images/inclusion_97.jpg,0.52136070
NEU-DET-2/train/images/scratches_300.jpg,0.52040178
NEU-DET-2/train/images/inclusion_246.jpg,0.51696002
NEU-DET-2/train/images/inclusion_300.jpg,0.51502293
NEU-DET-2/train/images/inclusion_209.jpg,0.51231682
NEU-DET-2/train/images/inclusion_264.jpg,0.51135021
NEU-DET-2/train/images/inclusion_139.jpg,0.51018143
NEU-DET-2/train/images/scratches_68.jpg,0.50816244
NEU-DET-2/train/images/inclusion_66.jpg,0.50754035
NEU-DET-2/train/images/inclusion_135.jpg,0.50537866
NEU-DET-2/train/images/inclusion_167.jpg,0.50436991
NEU-DET-2/train/images/inclusion_64.jpg,0.50422388
NEU-DET-2/train/images/inclusion_187.jpg,0.50112480
NEU-DET-2/train/images/inclusion_176.jpg,0.49966851
NEU-DET-2/train/images/inclusion_245.jpg,0.49906430
NEU-DET-2/train/images/inclusion_221.jpg,0.49904162
NEU-DET-2/train/images/inclusion_152.jpg,0.49822664
NEU-DET-2/train/images/scratches_201.jpg,0.49478266
NEU-DET-2/train/images/pitted_surface_211.jpg,0.49477980
NEU-DET-2/train/images/inclusion_271.jpg,0.49311560
NEU-DET-2/train/images/inclusion_107.jpg,0.49281099
NEU-DET-2/train/images/inclusion_123.jpg,0.49246150
NEU-DET-2/train/images/scratches_74.jpg,0.49131873
NEU-DET-2/train/images/inclusion_105.jpg,0.48970452
NEU-DET-2/train/images/inclusion_252.jpg,0.48911566
NEU-DET-2/train/images/scratches_83.jpg,0.48832250
NEU-DET-2/train/images/inclusion_190.jpg,0.48788324
NEU-DET-2/train/images/inclusion_140.jpg,0.48656145
NEU-DET-2/train/images/inclusion_208.jpg,0.48641700
NEU-DET-2/train/images/inclusion_237.jpg,0.48246413
NEU-DET-2/train/images/inclusion_177.jpg,0.48002246
NEU-DET-2/train/images/inclusion_92.jpg,0.47997928
NEU-DET-2/train/images/scratches_298.jpg,0.47964853
NEU-DET-2/train/images/scratches_255.jpg,0.47506568
NEU-DET-2/train/images/inclusion_191.jpg,0.47448161
NEU-DET-2/train/images/inclusion_95.jpg,0.47440621
NEU-DET-2/train/images/scratches_71.jpg,0.47356135
NEU-DET-2/train/images/inclusion_117.jpg,0.47343042
NEU-DET-2/train/images/scratches_84.jpg,0.46757573
NEU-DET-2/train/images/scratches_80.jpg,0.46671993
NEU-DET-2/train/images/scratches_73.jpg,0.46585703
NEU-DET-2/train/images/inclusion_231.jpg,0.46216440
NEU-DET-2/train/images/scratches_136.jpg,0.46168536
NEU-DET-2/train/images/scratches_149.jpg,0.45995882
NEU-DET-2/train/images/scratches_152.jpg,0.45932117
NEU-DET-2/train/images/inclusion_80.jpg,0.45848581
NEU-DET-2/train/images/scratches_72.jpg,0.45810175
NEU-DET-2/train/images/scratches_113.jpg,0.45763546
NEU-DET-2/train/images/scratches_175.jpg,0.45731273
NEU-DET-2/train/images/inclusion_109.jpg,0.45483023
NEU-DET-2/train/images/inclusion_69.jpg,0.45270932
NEU-DET-2/train/images/inclusion_157.jpg,0.45009220
NEU-DET-2/train/images/scratches_112.jpg,0.44993547
NEU-DET-2/train/images/scratches_288.jpg,0.44911382
NEU-DET-2/train/images/scratches_297.jpg,0.44884816
NEU-DET-2/train/images/inclusion_141.jpg,0.44709530
NEU-DET-2/train/images/scratches_102.jpg,0.44474342
